product_id,business_id,sku,name,description,category_id,manufacturer_id,unit_price,unit,active,created_at
26,1,SKU-030026,Iron Steam,Iron Steam - standard retail unit,3,6,71.32,unit,True,2024-03-10 00:00:00
27,1,SKU-030027,Vacuum Cleaner Mini,Vacuum Cleaner Mini - standard retail unit,3,8,23.37,unit,True,2024-04-06 00:00:00
28,1,SKU-030028,Fan Table,Fan Table - standard retail unit,3,2,49.03,unit,True,2024-04-28 00:00:00
29,1,SKU-030029,Coffee Maker,Coffee Maker - standard retail unit,3,6,72.15,unit,True,2024-03-28 00:00:00
30,1,SKU-030030,Microwave Oven,Microwave Oven - standard retail unit,3,2,80.29,unit,True,2024-04-23 00:00:00
31,1,SKU-040031,Shampoo 400ml,Shampoo 400ml - standard retail unit,4,4,5.01,unit,True,2024-03-25 00:00:00
32,1,SKU-040032,Toothpaste 100g,Toothpaste 100g - standard retail unit,4,4,5.39,unit,True,2024-03-30 00:00:00
33,1,SKU-040033,Soap Bar,Soap Bar - standard retail unit,4,4,2.23,unit,True,2024-04-15 00:00:00
34,1,SKU-040034,Deodorant Spray,Deodorant Spray - standard retail unit,4,2,3.06,unit,True,2024-05-01 00:00:00
35,1,SKU-040035,Body Lotion 250ml,Body Lotion 250ml - standard retail unit,4,3,7.66,unit,True,2024-05-21 00:00:00
36,1,SKU-040036,Razor Pack,Razor Pack - standard retail unit,4,3,4.66,unit,True,2024-05-23 00:00:00
37,1,SKU-040037,Hand Sanitizer 250ml,Hand Sanitizer 250ml - standard retail unit,4,3,6.48,unit,True,2024-05-15 00:00:00
38,1,SKU-040038,Sunscreen 100ml,Sunscreen 100ml - standard retail unit,4,3,4.59,unit,True,2024-03-22 00:00:00
39,1,SKU-040039,Facial Tissue,Facial Tissue - standard retail unit,4,4,3.22,unit,True,2024-03-15 00:00:00
40,1,SKU-040040,Cotton Swabs,Cotton Swabs - standard retail unit,4,2,7.77,unit,True,2024-03-23 00:00:00
41,1,SKU-050041,Dish Soap 750ml,Dish Soap 750ml - standard retail unit,5,6,5.98,unit,True,2024-03-09 00:00:00
42,1,SKU-050042,Laundry Detergent 1kg,Laundry Detergent 1kg - standard retail unit,5,6,3.19,unit,True,2024-03-26 00:00:00
43,1,SKU-050043,Glass Cleaner 500ml,Glass Cleaner 500ml - standard retail unit,5,6,1.61,unit,True,2024-05-03 00:00:00
44,1,SKU-050044,Bleach 1L,Bleach 1L - standard retail unit,5,4,2.69,unit,True,2024-03-17 00:00:00
45,1,SKU-050045,Floor Cleaner 1L,Floor Cleaner 1L - standard retail unit,5,3,2.15,unit,True,2024-05-03 00:00:00
46,1,SKU-050046,Sponge Pack,Sponge Pack - standard retail unit,5,4,1.35,unit,True,2024-03-12 00:00:00
47,1,SKU-050047,Trash Bags 30ct,Trash Bags 30ct - standard retail unit,5,4,2.14,unit,True,2024-05-27 00:00:00
48,1,SKU-050048,Air Freshener,Air Freshener - standard retail unit,5,6,1.35,unit,True,2024-05-01 00:00:00
49,1,SKU-050049,Fabric Softener 1L,Fabric Softener 1L - standard retail unit,5,6,4.34,unit,True,2024-05-04 00:00:00
50,1,SKU-050050,All-Purpose Cleaner,All-Purpose Cleaner - standard retail unit,5,3,1.66,unit,True,2024-03-19 00:00:00
51,1,SKU-060051,Notebook A4,Notebook A4 - standard retail unit,6,2,1.19,unit,True,2024-05-19 00:00:00
52,1,SKU-060052,Ballpoint Pen Pack,Ballpoint Pen Pack - standard retail unit,6,4,2.33,unit,True,2024-04-07 00:00:00
53,1,SKU-060053,Pencil Pack,Pencil Pack - standard retail unit,6,2,2.5,unit,True,2024-05-25 00:00:00
54,1,SKU-060054,Sticky Notes,Sticky Notes - standard retail unit,6,4,3.37,unit,True,2024-03-10 00:00:00
55,1,SKU-060055,Stapler,Stapler - standard retail unit,6,8,0.58,unit,True,2024-04-18 00:00:00
56,1,SKU-060056,Folder Pack,Folder Pack - standard retail unit,6,8,1.47,unit,True,2024-05-07 00:00:00
57,1,SKU-060057,Highlighter Set,Highlighter Set - standard retail unit,6,4,2.41,unit,True,2024-04-07 00:00:00
58,1,SKU-060058,Envelope Pack,Envelope Pack - standard retail unit,6,8,1.61,unit,True,2024-04-30 00:00:00
59,1,SKU-060059,Printer Paper Ream,Printer Paper Ream - standard retail unit,6,8,2.38,unit,True,2024-03-22 00:00:00
60,1,SKU-060060,Marker Set,Marker Set - standard retail unit,6,8,0.54,unit,True,2024-03-23 00:00:00
