sale_id,business_id,store_id,user_id,customer_id,sale_date,subtotal,discount,tax,payment_method,status
29,1,2,12,227.0,2024-06-01 14:07:00,17.04,0.0,2.04,transfer,completed
30,1,2,3,,2024-06-01 11:49:00,4.71,0.0,0.57,card,completed
31,1,2,3,,2024-06-01 16:35:00,8.7,0.0,1.04,card,completed
32,1,2,12,40.0,2024-06-01 15:53:00,28.27,0.0,3.39,card,completed
33,1,2,3,269.0,2024-06-01 09:33:00,25.58,0.0,3.07,card,completed
34,1,2,3,89.0,2024-06-01 15:29:00,16.14,0.0,1.94,transfer,completed
35,1,2,12,,2024-06-01 12:50:00,30.98,0.0,3.72,cash,completed
36,1,2,12,30.0,2024-06-01 20:47:00,22.89,0.0,2.75,card,completed
37,1,2,3,244.0,2024-06-01 20:57:00,1.35,0.0,0.16,transfer,completed
38,1,2,12,225.0,2024-06-01 08:50:00,39.22,0.0,4.71,card,completed
39,1,2,3,130.0,2024-06-01 18:25:00,27.45,0.0,3.29,transfer,completed
40,1,2,3,169.0,2024-06-01 11:14:00,830.73,0.0,99.69,cash,completed
41,1,2,3,270.0,2024-06-01 19:49:00,10.32,0.0,1.24,cash,completed
42,1,2,12,122.0,2024-06-01 17:28:00,32.84,0.0,3.94,card,completed
43,1,2,3,,2024-06-01 09:18:00,43.11,0.0,5.17,cash,completed
44,1,2,12,114.0,2024-06-01 11:24:00,39.6,0.0,4.75,card,completed
45,1,2,3,,2024-06-01 19:53:00,2.32,0.0,0.28,transfer,completed
46,1,2,3,132.0,2024-06-01 20:18:00,19.02,0.0,2.28,cash,completed
47,1,2,3,33.0,2024-06-01 10:18:00,92.93,0.0,11.15,transfer,completed
48,1,2,12,44.0,2024-06-01 16:50:00,21.7,0.0,2.6,transfer,completed
49,1,2,12,192.0,2024-06-01 13:15:00,4.66,0.0,0.56,transfer,completed
50,1,2,3,174.0,2024-06-01 11:02:00,948.4,0.0,113.81,cash,completed
51,1,2,12,,2024-06-01 13:17:00,725.36,0.0,87.04,card,completed
52,1,3,5,255.0,2024-06-01 09:05:00,105.69,0.0,12.68,card,completed
53,1,3,5,,2024-06-01 18:10:00,1312.72,0.0,157.53,cash,completed
54,1,3,5,188.0,2024-06-01 20:04:00,22.45,0.0,2.69,transfer,completed
55,1,3,1,59.0,2024-06-01 09:16:00,556.87,0.0,66.82,transfer,completed
56,1,3,8,,2024-06-01 10:57:00,9.63,0.0,1.16,cash,completed
57,1,3,4,154.0,2024-06-01 11:50:00,5.32,0.0,0.64,card,completed
58,1,3,4,283.0,2024-06-01 17:04:00,52.69,0.0,6.32,card,completed
59,1,3,9,66.0,2024-06-01 10:20:00,87.04,0.0,10.44,cash,completed
60,1,4,12,283.0,2024-06-01 18:10:00,9.38,0.0,1.13,transfer,completed
61,1,4,12,,2024-06-01 14:39:00,33.66,0.0,4.04,card,completed
62,1,4,12,,2024-06-01 19:03:00,10.71,0.0,1.29,card,completed
63,1,4,12,164.0,2024-06-01 15:15:00,16.22,0.0,1.95,cash,completed
64,1,4,12,,2024-06-01 15:31:00,49.48,0.0,5.94,card,completed
65,1,4,12,,2024-06-01 16:00:00,90.78,0.0,10.89,card,completed
66,1,4,12,292.0,2024-06-01 20:35:00,72.74,0.0,8.73,transfer,completed
67,1,4,12,192.0,2024-06-01 10:45:00,20.27,0.0,2.43,card,completed
68,1,4,12,168.0,2024-06-01 16:53:00,10.75,0.0,1.29,card,completed
69,1,4,12,170.0,2024-06-01 17:14:00,1335.52,0.0,160.26,transfer,completed
70,1,4,12,195.0,2024-06-01 15:20:00,15.15,0.0,1.82,card,completed
71,1,4,12,242.0,2024-06-01 18:30:00,25.28,0.0,3.03,card,completed
72,1,4,12,136.0,2024-06-01 11:19:00,646.3,0.0,77.56,transfer,completed
73,1,1,11,287.0,2024-06-02 12:02:00,14.13,0.0,1.7,transfer,completed
74,1,1,4,,2024-06-02 12:08:00,62.06,0.0,7.45,transfer,completed
75,1,1,4,,2024-06-02 19:30:00,13.71,0.0,1.65,cash,completed
76,1,1,7,,2024-06-02 17:14:00,31.75,0.0,3.81,transfer,completed
77,1,1,2,,2024-06-02 09:59:00,31.81,0.0,3.82,card,completed
78,1,1,10,69.0,2024-06-02 12:45:00,45.7,0.0,5.48,transfer,completed
79,1,1,4,,2024-06-02 13:59:00,863.29,0.0,103.59,card,completed
80,1,1,2,,2024-06-02 12:10:00,813.39,0.0,97.61,transfer,completed
81,1,1,6,,2024-06-02 15:47:00,19.32,0.0,2.32,card,completed
82,1,1,2,186.0,2024-06-02 09:43:00,21.6,0.0,2.59,transfer,completed
83,1,1,10,68.0,02/06/2024 12:52,46.99,0.0,5.64,cash,completed
84,1,1,10,,2024-06-02 08:18:00,8.44,0.0,1.01,cash,completed
85,1,1,7,196.0,2024-06-02 14:33:00,21.91,0.0,2.63,cash,completed
86,1,1,4,118.0,2024-06-02 14:39:00,31.0,0.0,3.72,cash,completed
87,1,1,4,25.0,2024-06-02 11:34:00,3.68,0.0,0.44,cash,completed
88,1,1,10,,2024-06-02 16:14:00,910.49,0.0,109.26,card,completed
89,1,1,2,254.0,2024-06-02 10:19:00,15.64,0.0,1.88,transfer,completed
90,1,1,7,,2024-06-02 14:35:00,4.2,0.0,0.5,card,completed
91,1,1,6,231.0,2024-06-02 11:03:00,6.3,0.0,0.76,transfer,completed
92,1,1,6,171.0,2024-06-02 19:07:00,5.38,0.0,0.65,card,completed
93,1,1,10,123.0,2024-06-02 12:16:00,22.19,0.0,2.66,card,completed
94,1,1,4,,2024-06-02 10:01:00,19.31,0.0,2.32,transfer,completed
95,1,1,7,118.0,2024-06-02 10:46:00,113.86,0.0,13.66,cash,completed
96,1,1,10,,2024-06-02 09:52:00,4.34,0.0,0.52,cash,completed
97,1,1,2,,2024-06-02 17:40:00,8.75,0.0,1.05,transfer,completed
98,1,1,7,283.0,2024-06-02 19:17:00,5.95,0.0,0.71,card,completed
99,1,1,7,283.0,2024-06-02 19:21:00,5.95,0.0,0.71,cash,completed
100,1,1,6,270.0,2024-06-02 17:15:00,27.77,0.0,3.33,cash,completed
101,1,1,2,,2024-06-02 14:35:00,3.68,0.0,0.44,transfer,completed
102,1,1,11,,2024-06-02 17:30:00,21.1,0.0,2.53,cash,completed
103,1,2,3,162.0,2024-06-02 09:19:00,16.4,0.0,1.97,cash,completed
104,1,2,3,,2024-06-02 13:03:00,26.04,0.0,3.12,cash,completed
105,1,2,12,204.0,2024-06-02 15:14:00,276.2,0.0,33.14,card,completed
106,1,2,3,152.0,2024-06-02 10:24:00,6.99,0.0,0.84,transfer,completed
107,1,2,12,3.0,2024-06-02 16:35:00,59.9,0.0,7.19,cash,completed
108,1,2,12,167.0,2024-06-02 14:49:00,276.2,0.0,33.14,transfer,completed
109,1,2,3,195.0,2024-06-02 10:04:00,11.87,0.0,1.42,card,completed
110,1,2,3,254.0,2024-06-02 20:55:00,991.06,0.0,118.93,card,completed
111,1,2,12,103.0,2024-06-02 18:31:00,21.75,0.0,2.61,cash,completed
112,1,2,3,,2024-06-02 09:52:00,76.16,0.0,9.14,card,completed
113,1,2,12,79.0,02/06/2024 14:34,33.53,0.0,4.02,card,completed
114,1,2,3,,2024-06-02 08:36:00,16.15,0.0,1.94,transfer,completed
115,1,2,3,114.0,2024-06-02 10:22:00,104.0,0.0,12.48,card,completed
116,1,2,3,,2024-06-02 13:30:00,15.95,0.0,1.91,transfer,completed
117,1,2,3,59.0,2024-06-02 10:21:00,717.37,0.0,86.08,card,completed
118,1,2,12,222.0,2024-06-02 15:37:00,15.54,0.0,1.86,cash,completed
119,1,2,3,,2024-06-02 15:33:00,24.41,0.0,2.93,card,completed
120,1,3,8,181.0,2024-06-02 10:23:00,18.76,0.0,2.25,transfer,completed
121,1,3,8,96.0,2024-06-02 08:55:00,34.39,0.0,4.13,cash,completed
122,1,3,8,252.0,2024-06-02 12:14:00,16.29,0.0,1.95,cash,completed
123,1,3,5,59.0,2024-06-02 19:53:00,78.45,0.0,9.41,cash,completed
124,1,3,8,45.0,2024-06-02 20:47:00,3.14,0.0,0.38,card,completed
125,1,3,4,72.0,2024-06-02 17:34:00,33.95,0.0,4.07,transfer,completed
126,1,3,1,,2024-06-02 10:44:00,42.3,0.0,5.08,cash,completed
127,1,3,8,138.0,2024-06-02 13:29:00,49.39,0.0,5.93,card,completed
128,1,3,5,,2024-06-02 11:27:00,9.52,0.0,1.14,card,completed
129,1,3,8,290.0,2024-06-02 09:59:00,787.38,0.0,94.49,card,completed
130,1,3,5,68.0,2024-06-02 12:05:00,62.13,0.0,7.46,transfer,completed
131,1,3,4,,2024-06-02 11:33:00,55.45,0.0,6.65,cash,completed
132,1,4,12,53.0,2024-06-02 18:09:00,47.34,0.0,5.68,transfer,completed
133,1,4,12,53.0,2024-06-02 18:11:00,47.34,0.0,5.68,card,completed
134,1,4,12,112.0,2024-06-02 17:46:00,2.23,0.0,0.27,card,completed
135,1,4,12,128.0,2024-06-02 16:38:00,3.3,0.0,0.4,transfer,completed
136,1,4,12,,2024-06-02 08:23:00,37.53,0.0,4.5,cash,completed
137,1,4,12,89.0,2024-06-02 09:00:00,29.9,0.0,3.59,cash,completed
138,1,4,12,257.0,2024-06-02 11:51:00,47.83,0.0,5.74,card,completed
139,1,4,12,123.0,2024-06-02 17:38:00,5.79,0.0,0.69,transfer,completed
140,1,4,12,71.0,2024-06-02 20:52:00,15.4,0.0,1.85,cash,completed
141,1,1,2,269.0,2024-06-03 08:31:00,23.56,0.0,2.83,cash,completed
142,1,1,2,23.0,2024-06-03 10:11:00,9.6,0.0,1.15,cash,completed
143,1,1,6,164.0,2024-06-03 09:32:00,23.31,0.0,2.8,cash,completed
144,1,1,6,145.0,2024-06-03 12:36:00,24.23,0.0,2.91,transfer,completed
145,1,1,4,,03/06/2024 08:21,106.46,0.0,12.78,transfer,completed
146,1,1,7,,2024-06-03 19:57:00,20.49,0.0,2.46,transfer,completed
147,1,1,2,202.0,2024-06-03 19:53:00,21.65,0.0,2.6,card,completed
148,1,1,2,300.0,2024-06-03 13:26:00,15.44,0.0,1.85,card,completed
149,1,1,2,62.0,2024-06-03 10:05:00,10.95,0.0,1.31,card,completed
150,1,1,10,232.0,2024-06-03 11:52:00,13.25,0.0,1.59,transfer,completed
151,1,1,2,39.0,2024-06-03 15:51:00,20.22,0.0,2.43,card,completed
152,1,1,7,,2024-06-03 10:17:00,57.14,0.0,6.86,cash,completed
153,1,1,7,256.0,2024-06-03 11:40:00,56.11,0.0,6.73,transfer,completed
154,1,1,6,,2024-06-03 20:49:00,602.14,0.0,72.26,card,completed
155,1,1,10,137.0,2024-06-03 20:24:00,10.7,0.0,1.28,cash,completed
156,1,1,6,,2024-06-03 08:05:00,52.56,0.0,6.31,transfer,completed
157,1,1,4,104.0,2024-06-03 19:58:00,34.21,0.0,4.11,cash,completed
158,1,2,12,155.0,2024-06-03 18:20:00,24.64,0.0,2.96,transfer,completed
159,1,2,12,,2024-06-03 17:25:00,18.89,0.0,2.27,transfer,completed
160,1,2,3,,2024-06-03 18:56:00,26.44,0.0,3.17,transfer,completed
161,1,2,12,35.0,2024-06-03 14:10:00,60.92,0.0,7.31,card,completed
162,1,2,3,246.0,2024-06-03 08:20:00,108.31,0.0,13.0,cash,completed
163,1,2,12,,2024-06-03 10:38:00,5.52,0.0,0.66,cash,completed
164,1,2,12,284.0,2024-06-03 16:53:00,519.17,0.0,62.3,cash,completed
165,1,2,12,,2024-06-03 18:18:00,20.8,0.0,2.5,card,completed
166,1,2,12,47.0,2024-06-03 15:02:00,26.94,0.0,3.23,card,completed
167,1,2,3,50.0,2024-06-03 16:26:00,735.44,0.0,88.25,transfer,completed
168,1,2,3,154.0,2024-06-03 20:12:00,46.48,0.0,5.58,card,completed
169,1,2,3,,2024-06-03 16:29:00,34.11,0.0,4.09,cash,completed
170,1,2,3,,2024-06-03 13:56:00,49.18,0.0,5.9,card,completed
171,1,2,12,142.0,2024-06-03 13:44:00,10.22,0.0,1.23,transfer,completed
172,1,3,5,,2024-06-03 15:49:00,19.17,0.0,2.3,card,completed
173,1,3,8,109.0,2024-06-03 16:25:00,40.87,0.0,4.9,transfer,completed
174,1,3,4,,2024-06-03 15:03:00,1.57,0.0,0.19,transfer,completed
175,1,3,1,,2024-06-03 10:55:00,12.15,0.0,1.46,transfer,completed
176,1,3,4,26.0,2024-06-03 20:49:00,32.55,0.0,3.91,card,completed
177,1,3,4,,2024-06-03 15:16:00,11.62,0.0,1.39,card,completed
178,1,3,5,262.0,2024-06-03 13:55:00,61.74,0.0,7.41,transfer,completed
179,1,3,1,124.0,2024-06-03 14:24:00,39.74,0.0,4.77,transfer,completed
180,1,4,12,88.0,2024-06-03 20:35:00,33.81,0.0,4.06,cash,completed
181,1,4,12,115.0,2024-06-03 08:55:00,800.29,0.0,96.03,transfer,completed
182,1,4,12,62.0,2024-06-03 15:09:00,24.37,0.0,2.92,transfer,completed
183,1,4,12,91.0,2024-06-03 12:13:00,3.68,0.0,0.44,cash,completed
184,1,4,12,,2024-06-03 14:27:00,15.02,0.0,1.8,card,completed
185,1,4,12,8.0,2024-06-03 10:06:00,53.85,0.0,6.46,transfer,completed
186,1,1,6,69.0,2024-06-04 19:08:00,15.59,0.0,1.87,cash,completed
187,1,1,2,,2024-06-04 08:03:00,20.88,0.0,2.51,card,completed
188,1,1,4,79.0,2024-06-04 18:06:00,5.72,0.0,0.69,card,completed
189,1,1,2,,2024-06-04 16:12:00,19.33,0.0,2.32,card,completed
190,1,1,11,,2024-06-04 18:31:00,18.54,0.0,2.22,cash,completed
191,1,1,6,,2024-06-04 13:51:00,11.4,0.0,1.37,card,completed
192,1,1,6,88.0,2024-06-04 09:25:00,13.64,0.0,1.64,card,completed
193,1,1,4,31.0,2024-06-04 15:51:00,5.8,0.0,0.7,card,completed
194,1,1,7,67.0,2024-06-04 08:45:00,35.65,0.0,4.28,transfer,completed
195,1,1,2,,2024-06-04 16:57:00,38.32,0.0,4.6,cash,completed
196,1,1,4,254.0,2024-06-04 11:21:00,8.22,0.0,0.99,cash,completed
197,1,1,2,121.0,2024-06-04 15:47:00,23.75,0.0,2.85,cash,completed
198,1,1,10,47.0,2024-06-04 15:21:00,18.29,0.0,2.19,transfer,completed
199,1,1,2,,2024-06-04 13:22:00,3.37,0.0,0.4,card,completed
200,1,1,11,,2024-06-04 20:12:00,73.23,0.0,8.79,cash,completed
201,1,2,12,,2024-06-04 16:59:00,30.81,0.0,3.7,transfer,completed
202,1,2,12,165.0,2024-06-04 10:26:00,20.31,0.0,2.44,transfer,completed
203,1,2,3,284.0,2024-06-04 18:08:00,21.96,0.0,2.64,transfer,completed
204,1,2,3,166.0,2024-06-04 12:56:00,28.54,0.0,3.42,cash,completed
205,1,2,3,29.0,2024-06-04 20:18:00,15.51,0.0,1.86,transfer,completed
206,1,2,3,,2024-06-04 13:35:00,114.62,0.0,13.75,transfer,completed
207,1,2,3,101.0,2024-06-04 16:07:00,22.2,0.0,2.66,card,completed
208,1,2,3,131.0,2024-06-04 08:49:00,739.24,0.0,88.71,transfer,completed
209,1,2,3,184.0,2024-06-04 10:26:00,897.13,0.0,107.66,card,completed
210,1,2,12,112.0,2024-06-04 18:56:00,35.26,0.0,4.23,cash,completed
211,1,2,3,250.0,2024-06-04 16:00:00,329.27,0.0,39.51,cash,completed
212,1,2,12,,2024-06-04 15:45:00,2.69,0.0,0.32,cash,completed
213,1,2,12,,04/06/2024 09:34,30.55,0.0,3.67,transfer,completed
214,1,2,3,,2024-06-04 09:18:00,24.17,0.0,2.9,card,completed
215,1,3,4,113.0,2024-06-04 08:35:00,37.59,0.0,4.51,cash,completed
216,1,3,1,281.0,2024-06-04 10:10:00,23.63,0.0,2.84,transfer,completed
217,1,3,1,291.0,2024-06-04 17:31:00,19.16,0.0,2.3,card,completed
218,1,3,4,36.0,2024-06-04 19:37:00,15.7,0.0,1.88,transfer,completed
219,1,3,8,114.0,2024-06-04 13:49:00,22.16,0.0,2.66,transfer,completed
220,1,3,4,,2024-06-04 17:25:00,27.67,0.0,3.32,cash,completed
221,1,3,9,,2024-06-04 15:32:00,28.95,0.0,3.47,card,completed
222,1,3,9,,2024-06-04 10:36:00,10.9,0.0,1.31,transfer,completed
223,1,3,5,33.0,2024-06-04 15:58:00,18.49,0.0,2.22,cash,completed
224,1,3,9,,2024-06-04 13:37:00,26.6,0.0,3.19,cash,completed
225,1,4,12,177.0,2024-06-04 18:17:00,21.95,0.0,2.63,cash,completed
226,1,4,12,170.0,2024-06-04 11:02:00,22.95,0.0,2.75,transfer,completed
227,1,4,12,,2024-06-04 10:33:00,7.5,0.0,0.9,transfer,completed
228,1,4,12,,2024-06-04 17:30:00,13.48,0.0,1.62,cash,completed
229,1,4,12,,2024-06-04 11:24:00,81.23,0.0,9.75,cash,completed
230,1,4,12,20.0,2024-06-04 10:57:00,16.44,0.0,1.97,cash,completed
231,1,4,12,190.0,2024-06-04 09:27:00,48.88,0.0,5.87,card,completed
232,1,4,12,,2024-06-04 16:00:00,14.04,0.0,1.68,cash,completed
233,1,4,12,219.0,2024-06-04 14:48:00,858.78,0.0,103.05,transfer,completed
234,1,4,12,248.0,2024-06-04 09:47:00,94.82,0.0,11.38,transfer,completed
235,1,1,10,174.0,2024-06-05 09:04:00,23.27,0.0,2.79,card,completed
236,1,1,4,30.0,2024-06-05 08:50:00,74.73,0.0,8.97,transfer,completed
237,1,1,11,123.0,2024-06-05 12:49:00,1.61,0.0,0.19,transfer,completed
238,1,1,2,36.0,2024-06-05 17:00:00,43.7,0.0,5.24,card,completed
239,1,1,10,60.0,2024-06-05 20:15:00,33.51,0.0,4.02,card,completed
240,1,1,11,113.0,2024-06-05 16:00:00,46.38,0.0,5.57,card,completed
241,1,1,6,,2024-06-05 15:20:00,3.18,0.0,0.38,transfer,completed
242,1,1,6,124.0,2024-06-05 13:09:00,12.93,0.0,1.55,cash,completed
243,1,1,10,,2024-06-05 17:20:00,13.77,0.0,1.65,transfer,completed
244,1,1,10,,05/06/2024 15:34,30.7,0.0,3.68,card,completed
245,1,1,2,5.0,2024-06-05 17:55:00,14.22,0.0,1.71,transfer,completed
246,1,1,4,188.0,2024-06-05 15:11:00,868.72,0.0,104.25,transfer,completed
247,1,1,4,,2024-06-05 14:31:00,8.17,0.0,0.98,transfer,completed
248,1,1,10,129.0,2024-06-05 09:28:00,28.54,0.0,3.42,card,completed
249,1,2,12,,2024-06-05 13:55:00,2.14,0.0,0.26,transfer,completed
250,1,2,12,146.0,2024-06-05 12:29:00,18.04,0.0,2.16,cash,completed
251,1,2,3,208.0,2024-06-05 11:20:00,269.13,0.0,32.3,card,completed
252,1,2,12,228.0,2024-06-05 12:47:00,36.22,0.0,4.35,cash,completed
253,1,2,3,243.0,2024-06-05 20:05:00,32.4,0.0,3.89,transfer,completed
254,1,2,12,146.0,2024-06-05 08:42:00,7.68,0.0,0.92,card,completed
255,1,2,3,,2024-06-05 16:14:00,34.98,0.0,4.2,card,completed
256,1,2,3,1.0,2024-06-05 12:00:00,84.36,0.0,10.12,card,completed
257,1,2,12,288.0,2024-06-05 14:40:00,15.29,0.0,1.83,transfer,completed
258,1,2,12,273.0,2024-06-05 17:28:00,36.96,0.0,4.44,transfer,completed
259,1,2,3,274.0,2024-06-05 19:28:00,197.38,0.0,23.69,cash,completed
260,1,2,12,160.0,2024-06-05 12:49:00,4.8,0.0,0.58,transfer,completed
261,1,2,3,,2024-06-05 18:13:00,27.73,0.0,3.33,transfer,completed
262,1,2,3,,2024-06-05 11:07:00,743.12,0.0,89.17,card,completed
263,1,3,1,,2024-06-05 15:44:00,9.96,0.0,1.2,card,completed
264,1,3,1,174.0,2024-06-05 10:44:00,6.72,0.0,0.81,cash,completed
265,1,3,8,178.0,2024-06-05 10:16:00,14.61,0.0,1.75,card,completed
266,1,3,9,98.0,2024-06-05 15:17:00,21.12,0.0,2.53,transfer,completed
267,1,3,5,231.0,2024-06-05 14:46:00,19.19,0.0,2.3,cash,completed
268,1,3,8,276.0,2024-06-05 17:18:00,10.73,0.0,1.29,transfer,completed
269,1,3,4,67.0,2024-06-05 15:12:00,1.57,0.0,0.19,transfer,completed
270,1,3,1,132.0,2024-06-05 09:29:00,58.5,0.0,7.02,cash,completed
271,1,3,1,271.0,2024-06-05 11:33:00,0.58,0.0,0.07,transfer,completed
272,1,3,9,128.0,2024-06-05 09:49:00,59.5,0.0,7.14,card,completed
273,1,4,12,,2024-06-05 18:10:00,19.13,0.0,2.3,transfer,completed
274,1,4,12,110.0,2024-06-05 08:33:00,926.34,0.0,111.16,card,completed
275,1,4,12,110.0,2024-06-05 08:35:00,926.34,0.0,111.16,cash,completed
276,1,4,12,,2024-06-05 13:56:00,927.82,0.0,111.34,cash,completed
277,1,4,12,112.0,2024-06-05 09:38:00,1233.89,0.0,148.07,cash,completed
278,1,4,12,,05/06/2024 17:59,33.38,0.0,4.01,transfer,completed
279,1,4,12,290.0,2024-06-05 14:28:00,1137.39,0.0,136.49,transfer,completed
280,1,4,12,,2024-06-05 19:03:00,10.33,0.0,1.24,card,completed
281,1,1,7,70.0,2024-06-06 11:15:00,41.68,0.0,5.0,card,completed
282,1,1,6,217.0,2024-06-06 20:19:00,25.89,0.0,3.11,card,completed
283,1,1,4,120.0,2024-06-06 17:59:00,25.21,0.0,3.03,card,completed
284,1,1,4,120.0,2024-06-06 18:00:00,25.21,0.0,3.03,card,completed
285,1,1,4,276.0,2024-06-06 15:39:00,48.51,0.0,5.82,cash,completed
286,1,1,2,270.0,2024-06-06 12:03:00,15.04,0.0,1.8,cash,completed
287,1,1,11,,2024-06-06 14:32:00,19.9,0.0,2.39,cash,completed
288,1,1,10,235.0,2024-06-06 16:19:00,11.96,0.0,1.44,card,completed
289,1,1,4,155.0,2024-06-06 14:42:00,21.76,0.0,2.61,transfer,completed
290,1,1,7,117.0,2024-06-06 17:21:00,9.66,0.0,1.16,cash,completed
291,1,1,4,104.0,2024-06-06 10:20:00,24.04,0.0,2.88,transfer,completed
292,1,1,4,,2024-06-06 14:19:00,5.0,0.0,0.6,transfer,completed
293,1,1,4,68.0,2024-06-06 12:38:00,401.45,0.0,48.17,cash,completed
294,1,1,4,,2024-06-06 11:02:00,875.1,0.0,105.01,cash,completed
295,1,1,4,104.0,2024-06-06 17:31:00,8.92,0.0,1.07,card,completed
296,1,1,11,195.0,2024-06-06 15:52:00,55.66,0.0,6.68,cash,completed
297,1,1,4,26.0,2024-06-06 14:18:00,11.67,0.0,1.4,cash,completed
298,1,1,11,47.0,2024-06-06 17:57:00,24.24,0.0,2.91,cash,completed
299,1,1,11,84.0,2024-06-06 19:28:00,2.11,0.0,0.25,cash,completed
300,1,1,7,282.0,2024-06-06 17:55:00,4.83,0.0,0.58,cash,completed
301,1,1,7,,06/06/2024 10:12,17.11,0.0,2.05,card,completed
302,1,1,7,233.0,2024-06-06 11:03:00,37.35,0.0,4.48,cash,completed
303,1,1,10,296.0,2024-06-06 10:43:00,11.53,0.0,1.38,transfer,completed
304,1,2,12,234.0,2024-06-06 13:23:00,9.57,0.0,1.15,cash,completed
305,1,2,12,63.0,2024-06-06 08:06:00,43.77,0.0,5.25,transfer,completed
306,1,2,12,148.0,2024-06-06 15:31:00,44.02,0.0,5.28,transfer,completed
307,1,2,3,61.0,2024-06-06 11:44:00,30.07,0.0,3.61,cash,completed
308,1,2,3,,2024-06-06 13:59:00,24.92,0.0,2.99,card,completed
309,1,2,12,236.0,2024-06-06 16:01:00,31.39,0.0,3.77,transfer,completed
310,1,2,12,16.0,06/06/2024 13:45,639.13,0.0,76.7,card,completed
311,1,2,12,,06/06/2024 13:50,3.75,0.0,0.45,cash,completed
312,1,2,3,,2024-06-06 12:49:00,50.91,0.0,6.11,cash,completed
313,1,2,3,199.0,2024-06-06 18:54:00,1.65,0.0,0.2,cash,completed
314,1,2,12,,2024-06-06 18:57:00,5.91,0.0,0.71,cash,completed
315,1,2,3,,2024-06-06 16:32:00,515.25,0.0,61.83,transfer,completed
316,1,2,12,,2024-06-06 08:30:00,1001.33,0.0,120.16,cash,completed
317,1,2,12,229.0,2024-06-06 09:52:00,17.07,0.0,2.05,transfer,completed
318,1,3,8,239.0,2024-06-06 13:25:00,21.99,0.0,2.64,transfer,completed
319,1,3,1,244.0,2024-06-06 17:08:00,836.51,0.0,100.38,card,completed
320,1,3,9,155.0,2024-06-06 14:04:00,20.55,0.0,2.47,transfer,completed
321,1,3,4,121.0,2024-06-06 09:37:00,31.08,0.0,3.73,card,completed
322,1,3,1,,2024-06-06 17:57:00,58.78,0.0,7.05,cash,completed
323,1,3,9,200.0,2024-06-06 19:58:00,50.37,0.0,6.04,cash,completed
324,1,4,12,,2024-06-06 09:55:00,216.45,0.0,25.97,cash,completed
325,1,4,12,196.0,2024-06-06 16:24:00,24.02,0.0,2.88,card,completed
326,1,4,12,,2024-06-06 10:46:00,16.47,0.0,1.98,transfer,completed
327,1,4,12,213.0,2024-06-06 10:27:00,36.75,0.0,4.41,transfer,completed
328,1,4,12,211.0,2024-06-06 15:45:00,5.95,0.0,0.71,transfer,completed
329,1,4,12,,2024-06-06 18:04:00,36.4,0.0,4.37,transfer,completed
330,1,4,12,,2024-06-06 20:18:00,1038.94,0.0,124.67,cash,completed
331,1,4,12,87.0,2024-06-06 16:04:00,533.67,0.0,64.04,card,completed
