purchase_id,business_id,store_id,user_id,suplier_id,purchase_date,subtotal,tax,status
60,1,4,12,6,2025-01-01 09:00:00,6306.38,756.77,received
61,1,1,10,7,2025-01-15 10:00:00,5436.54,652.38,received
62,1,2,12,8,2025-01-15 12:00:00,6880.46,825.66,received
63,1,3,8,9,2025-01-15 09:00:00,17167.18,2060.06,received
64,1,4,12,5,2025-01-15 10:00:00,2454.58,294.55,received
65,1,1,4,1,2025-02-01 09:00:00,5642.08,677.05,received
66,1,2,12,6,2025-02-01 12:00:00,2262.6,271.51,received
67,1,3,8,3,2025-02-01 09:00:00,10012.74,1201.53,received
68,1,4,12,9,2025-02-01 11:00:00,8851.23,1062.15,received
69,1,1,2,3,2025-02-15 10:00:00,4259.09,511.09,received
70,1,2,12,5,2025-02-15 12:00:00,4633.68,556.04,received
71,1,3,4,6,2025-02-15 10:00:00,8041.31,964.96,received
72,1,4,12,10,2025-02-15 10:00:00,6527.28,783.27,received
73,1,1,6,5,2025-03-01 08:00:00,19011.62,2281.39,received
74,1,2,12,3,2025-03-01 12:00:00,8204.35,984.52,received
75,1,3,1,9,2025-03-01 10:00:00,1954.89,234.59,received
76,1,4,12,2,2025-03-01 10:00:00,5272.5,632.7,received
77,1,1,2,8,2025-03-15 12:00:00,3917.56,470.11,received
78,1,2,3,4,2025-03-15 09:00:00,17891.45,2146.97,received
79,1,3,9,1,2025-03-15 09:00:00,5846.21,701.55,received
80,1,4,12,5,2025-03-15 10:00:00,7169.73,860.37,received
81,1,1,6,1,2025-04-01 09:00:00,6420.96,770.52,received
82,1,2,3,1,2025-04-01 09:00:00,9772.84,1172.74,received
83,1,3,8,3,2025-04-01 08:00:00,5992.62,719.11,received
84,1,4,12,2,2025-04-01 10:00:00,1981.29,237.75,received
85,1,1,7,9,2025-04-15 11:00:00,7611.75,913.41,received
86,1,2,3,9,2025-04-15 08:00:00,9400.0,1128.0,received
87,1,3,9,1,2025-04-15 10:00:00,4732.45,567.89,received
88,1,4,12,6,2025-04-15 08:00:00,6672.72,800.73,received
89,1,1,4,7,2025-05-01 09:00:00,11744.39,1409.33,received
90,1,2,3,2,2025-05-01 12:00:00,9077.3,1089.28,received
91,1,3,5,7,2025-05-01 12:00:00,4405.37,528.64,received
92,1,4,12,5,2025-05-01 09:00:00,7592.12,911.05,received
93,1,1,10,10,2025-05-15 12:00:00,5753.75,690.45,received
94,1,2,12,2,2025-05-15 10:00:00,8577.85,1029.34,received
95,1,3,9,2,2025-05-15 09:00:00,7364.99,883.8,received
96,1,4,12,8,2025-05-15 08:00:00,5947.03,713.64,received
97,1,1,11,7,2025-06-01 11:00:00,1325.53,159.06,received
98,1,2,12,1,2025-06-01 12:00:00,3563.16,427.58,received
99,1,3,8,7,2025-06-01 11:00:00,7188.2,862.58,received
100,1,4,12,10,2025-06-01 12:00:00,13906.89,1668.83,received
101,1,1,2,1,2025-06-15 11:00:00,8130.04,975.6,received
102,1,2,3,8,2025-06-15 11:00:00,9652.31,1158.28,received
103,1,3,1,8,2025-06-15 09:00:00,7363.74,883.65,received
104,1,4,12,10,2025-06-15 10:00:00,9967.04,1196.04,received
105,1,1,4,9,2025-07-01 10:00:00,7216.94,866.03,received
106,1,2,3,7,2025-07-01 09:00:00,12365.96,1483.92,received
107,1,3,9,10,2025-07-01 11:00:00,7210.71,865.29,received
108,1,4,12,1,2025-07-01 09:00:00,10571.23,1268.55,received
109,1,1,7,2,2025-07-15 10:00:00,6592.75,791.13,received
110,1,2,12,4,2025-07-15 11:00:00,4408.14,528.98,received
111,1,3,9,4,2025-07-15 09:00:00,4064.34,487.72,received
112,1,4,12,8,2025-07-15 11:00:00,1923.59,230.83,received
113,1,1,10,4,2025-08-01 08:00:00,7398.62,887.83,received
114,1,2,3,2,2025-08-01 08:00:00,1472.36,176.68,received
115,1,3,4,9,2025-08-01 08:00:00,710.77,85.29,received
116,1,4,12,1,2025-08-01 11:00:00,845.37,101.44,received
117,1,1,2,7,2025-08-15 08:00:00,7539.52,904.74,received
118,1,2,3,8,2025-08-15 12:00:00,1536.51,184.38,received
119,1,3,4,7,2025-08-15 12:00:00,3417.33,410.08,received
120,1,4,12,8,2025-08-15 09:00:00,8214.18,985.7,received
121,1,1,7,10,2025-09-01 10:00:00,6496.15,779.54,received
122,1,2,3,2,2025-09-01 12:00:00,18276.47,2193.18,received
123,1,3,1,3,2025-09-01 11:00:00,2734.56,328.15,received
124,1,4,12,3,2025-09-01 10:00:00,548.09,65.77,received
125,1,1,4,1,2025-09-15 08:00:00,6614.22,793.71,received
126,1,2,12,4,2025-09-15 11:00:00,1960.31,235.24,received
127,1,3,9,8,2025-09-15 11:00:00,7353.5,882.42,received
128,1,4,12,2,2025-09-15 12:00:00,4811.61,577.39,received
129,1,1,4,4,2025-10-01 11:00:00,10122.82,1214.74,received
130,1,2,3,9,2025-10-01 10:00:00,7599.4,911.93,received
131,1,3,8,2,2025-10-01 08:00:00,8150.67,978.08,received
132,1,4,12,1,2025-10-01 12:00:00,2871.66,344.6,received
133,1,1,11,9,2025-10-15 12:00:00,9041.81,1085.02,received
134,1,2,12,4,2025-10-15 08:00:00,4788.3,574.6,received
135,1,3,5,10,2025-10-15 11:00:00,1672.14,200.66,received
136,1,4,12,6,2025-10-15 10:00:00,11552.21,1386.27,received
137,1,1,2,5,2025-11-01 11:00:00,2547.52,305.7,received
138,1,2,3,7,2025-11-01 11:00:00,4871.6,584.59,received
139,1,3,5,7,2025-11-01 10:00:00,4609.25,553.11,received
140,1,4,12,3,2025-11-01 09:00:00,5952.32,714.28,received
141,1,1,4,1,2025-11-15 10:00:00,1561.19,187.34,received
142,1,2,12,7,2025-11-15 10:00:00,1148.72,137.85,received
143,1,3,8,3,2025-11-15 09:00:00,6576.06,789.13,received
144,1,4,12,4,2025-11-15 09:00:00,14136.91,1696.43,received
