purchase_item_id,purchase_id,product_id,quantity,unit_cost,subtotal
286,21,15,53,1.0,53.0
287,21,34,86,2.0,172.0
288,21,14,54,1.44,77.76
289,21,11,72,1.61,115.92
290,21,39,69,1.79,123.51
291,21,55,36,0.37,13.32
292,21,22,64,10.7,684.8
293,21,46,54,0.87,46.98
294,21,18,42,1.75,73.5
295,22,53,54,1.27,68.58
296,22,44,93,1.56,145.08
297,22,3,40,1.58,63.2
298,22,20,75,1.16,87.0
299,22,17,29,0.7,20.3
300,22,21,74,37.34,2763.16
301,22,31,46,3.47,159.62
302,22,52,75,1.29,96.75
303,22,50,76,1.12,85.12
304,22,51,69,0.83,57.27
305,22,54,46,2.35,108.1
306,22,42,80,1.75,140.0
307,22,14,39,1.26,49.14
308,22,18,30,1.4,42.0
309,22,6,34,0.73,24.82
310,22,46,43,0.71,30.53
311,22,10,63,1.26,79.38
312,22,34,60,1.84,110.4
313,22,39,23,2.12,48.76
314,22,37,33,3.99,131.67
315,23,43,41,0.86,35.26
316,23,21,37,48.22,1784.14
317,23,40,62,4.43,274.66
318,23,24,51,44.89,2289.39
319,23,53,80,1.63,130.4
320,23,2,34,1.27,43.18
321,23,52,65,1.2,78.0
322,23,5,72,0.78,56.16
323,23,23,22,54.89,1207.58
324,23,18,80,1.73,138.4
325,24,21,61,46.33,2826.13
326,24,40,44,3.97,174.68
327,24,6,38,0.87,33.06
328,24,33,93,1.4,130.2
329,24,7,24,0.58,13.92
330,24,15,50,0.91,45.5
331,24,20,64,1.2,76.8
332,24,36,45,2.56,115.2
333,24,22,61,10.8,658.8
334,24,38,56,2.68,150.08
335,24,47,73,1.47,107.31
336,24,3,29,1.53,44.37
337,24,12,87,0.78,67.86
338,24,4,57,0.84,47.88
339,25,9,73,0.88,64.24
340,25,43,78,1.12,87.36
341,25,39,93,1.78,165.54
342,25,16,78,0.76,59.28
343,25,12,49,0.63,30.87
344,25,22,47,11.91,559.77
345,25,59,62,1.42,88.04
346,25,58,30,1.09,32.7
347,25,48,50,0.84,42.0
348,25,53,50,1.37,68.5
349,25,17,22,0.67,14.74
350,25,1,65,0.63,40.95
351,25,26,35,47.56,1664.6
352,25,18,57,1.73,98.61
353,26,37,41,3.63,148.83
354,26,43,72,1.12,80.64
355,26,11,74,1.69,125.06
356,26,20,47,0.95,44.65
357,26,5,43,0.84,36.12
358,26,25,65,45.12,2932.8
359,26,16,39,0.6,23.4
360,26,49,63,2.85,179.55
361,26,54,79,2.24,176.96
362,26,15,92,1.01,92.92
363,26,1,92,0.47,43.24
364,26,26,39,39.94,1557.66
365,27,38,94,3.11,292.34
366,27,6,87,0.87,75.69
367,27,58,71,0.83,58.93
368,27,42,57,2.12,120.84
369,27,18,99,1.8,178.2
370,27,50,24,0.87,20.88
371,27,32,54,3.45,186.3
372,27,24,52,48.63,2528.76
373,27,10,65,1.0,65.0
374,28,5,87,0.87,75.69
375,28,3,90,1.53,137.7
376,28,46,65,0.77,50.05
377,28,32,93,3.74,347.82
378,28,51,95,0.61,57.95
379,28,55,34,0.41,13.94
380,28,9,40,1.0,40.0
381,28,22,56,12.93,724.08
382,28,44,45,1.43,64.35
383,28,50,35,1.05,36.75
384,28,11,96,1.71,164.16
385,28,45,59,1.16,68.44
386,28,48,75,0.69,51.75
387,28,56,66,0.93,61.38
388,28,57,83,1.55,128.65
389,28,34,81,2.12,171.72
390,28,1,83,0.46,38.18
391,28,53,96,1.32,126.72
392,28,21,66,46.96,3099.36
393,29,43,35,1.07,37.45
394,29,37,63,3.9,245.7
395,29,19,97,0.69,66.93
396,29,21,92,43.38,3990.96
397,29,28,57,33.7,1920.9
398,29,1,80,0.56,44.8
399,29,25,51,38.88,1982.88
400,29,41,24,3.62,86.88
401,29,53,27,1.34,36.18
402,29,20,34,1.19,40.46
403,29,47,67,1.43,95.81
404,29,58,90,0.96,86.4
405,30,42,51,1.96,99.96
406,30,18,96,1.83,175.68
407,30,53,23,1.74,40.02
408,30,20,51,0.9,45.9
409,30,37,98,3.37,330.26
410,30,32,63,3.5,220.5
411,30,47,54,1.32,71.28
412,30,7,65,0.51,33.15
413,30,22,62,10.38,643.56
414,30,40,39,4.86,189.54
415,30,41,94,3.2,300.8
416,30,19,64,0.62,39.68
417,30,26,34,38.54,1310.36
418,30,15,87,1.14,99.18
419,30,9,96,1.07,102.72
420,30,57,69,1.29,89.01
421,31,29,22,46.49,1022.78
422,31,16,61,0.69,42.09
423,31,4,99,1.0,99.0
424,31,45,43,1.34,57.62
425,31,8,24,1.11,26.64
426,31,32,37,3.69,136.53
427,31,7,53,0.51,27.03
428,31,58,98,1.08,105.84
429,31,59,65,1.31,85.15
430,31,36,77,2.73,210.21
431,31,51,63,0.67,42.21
432,31,31,82,3.49,286.18
433,31,37,39,3.41,132.99
434,31,22,79,10.71,846.09
435,31,42,78,2.17,169.26
436,31,26,36,47.97,1726.92
437,31,19,58,0.68,39.44
438,31,49,67,2.24,150.08
439,31,1,59,0.57,33.63
440,32,27,78,13.17,1027.26
441,32,35,66,4.14,273.24
442,32,8,100,1.07,107.0
443,32,26,50,42.35,2117.5
444,32,12,77,0.71,54.67
445,32,30,41,42.11,1726.51
446,32,36,41,2.8,114.8
447,32,33,96,1.45,139.2
448,32,13,69,1.48,102.12
449,32,7,41,0.48,19.68
450,32,3,79,1.36,107.44
451,32,57,26,1.5,39.0
452,32,25,81,41.46,3358.26
453,33,10,37,1.35,49.95
454,33,51,54,0.68,36.72
455,33,4,95,0.79,75.05
456,33,19,23,0.6,13.8
457,33,31,54,3.33,179.82
458,33,52,60,1.39,83.4
459,33,21,28,37.52,1050.56
460,33,6,75,0.75,56.25
461,33,38,54,2.56,138.24
462,33,58,54,0.86,46.44
463,33,3,31,1.16,35.96
464,34,12,86,0.7,60.2
465,34,20,25,1.16,29.0
466,34,36,30,3.21,96.3
467,34,1,57,0.57,32.49
468,34,50,45,1.02,45.9
469,34,14,70,1.42,99.4
470,34,35,36,4.43,159.48
471,34,34,31,1.77,54.87
472,34,53,52,1.52,79.04
473,34,11,89,1.46,129.94
474,34,29,35,50.45,1765.75
475,34,27,69,14.44,996.36
476,34,41,96,3.27,313.92
477,35,34,37,1.73,64.01
478,35,55,81,0.34,27.54
479,35,32,54,3.38,182.52
480,35,45,84,1.45,121.8
481,35,6,83,0.68,56.44
482,35,7,58,0.48,27.84
483,35,60,78,0.36,28.08
484,35,22,47,11.8,554.6
485,35,1,78,0.59,46.02
486,35,2,68,1.27,86.36
487,36,3,56,1.29,72.24
488,36,47,55,1.23,67.65
489,36,2,97,1.24,120.28
490,36,53,30,1.62,48.6
491,36,37,24,4.32,103.68
492,36,38,77,2.96,227.92
493,36,41,63,3.95,248.85
494,36,28,69,29.14,2010.66
495,36,32,25,3.34,83.5
496,36,45,48,1.5,72.0
497,36,52,84,1.45,121.8
498,36,24,92,58.18,5352.56
499,36,57,62,1.31,81.22
500,36,22,29,12.78,370.62
501,36,51,90,0.81,72.9
502,36,44,91,1.87,170.17
503,36,35,56,4.53,253.68
504,37,6,55,0.65,35.75
505,37,8,34,1.13,38.42
506,37,21,70,49.72,3480.4
507,37,3,38,1.53,58.14
508,37,17,83,0.6,49.8
509,37,23,28,60.44,1692.32
510,37,5,77,0.79,60.83
511,37,19,81,0.72,58.32
512,37,59,67,1.4,93.8
513,37,31,79,2.71,214.09
514,37,34,93,1.73,160.89
515,38,36,31,2.95,91.45
516,38,52,56,1.63,91.28
517,38,22,31,13.33,413.23
518,38,49,62,2.7,167.4
519,38,56,64,0.97,62.08
520,38,34,86,1.91,164.26
521,38,53,43,1.71,73.53
522,38,5,70,0.96,67.2
523,38,42,21,2.13,44.73
524,38,50,80,0.84,67.2
525,38,32,30,3.1,93.0
526,38,27,56,15.51,868.56
527,38,19,75,0.65,48.75
528,38,1,42,0.47,19.74
529,38,47,84,1.36,114.24
530,38,31,43,3.46,148.78
531,38,17,49,0.6,29.4
532,38,14,66,1.24,81.84
533,39,58,70,1.01,70.7
534,39,5,24,0.93,22.32
535,39,54,79,1.75,138.25
536,39,56,92,0.83,76.36
537,39,21,32,38.09,1218.88
538,39,8,33,1.12,36.96
539,39,12,77,0.67,51.59
540,39,16,47,0.72,33.84
541,39,59,32,1.65,52.8
542,39,20,54,1.08,58.32
543,39,24,22,57.54,1265.88
544,39,57,23,1.52,34.96
545,40,29,40,42.91,1716.4
546,40,16,48,0.62,29.76
547,40,45,82,1.11,91.02
548,40,50,46,1.05,48.3
549,40,60,68,0.31,21.08
550,40,20,21,1.05,22.05
551,40,24,90,54.0,4860.0
552,40,47,62,1.26,78.12
553,40,3,74,1.57,116.18
554,40,51,48,0.69,33.12
555,40,59,91,1.64,149.24
556,40,53,64,1.41,90.24
557,40,4,66,0.8,52.8
558,40,17,47,0.74,34.78
559,40,52,30,1.33,39.9
560,40,42,82,1.73,141.86
561,41,8,75,0.91,68.25
562,41,48,34,0.83,28.22
563,41,42,92,2.03,186.76
564,41,29,36,47.8,1720.8
565,41,30,73,44.06,3216.38
566,41,35,95,4.13,392.35
567,41,15,58,0.86,49.88
568,41,17,34,0.78,26.52
569,42,7,28,0.64,17.92
570,42,30,49,53.16,2604.84
571,42,58,74,0.97,71.78
572,42,35,25,4.74,118.5
573,42,5,37,0.72,26.64
574,42,25,36,42.13,1516.68
575,42,12,81,0.77,62.37
576,42,15,64,1.02,65.28
577,42,57,99,1.36,134.64
578,42,41,66,3.64,240.24
579,42,44,42,1.76,73.92
580,42,13,66,1.77,116.82
581,42,2,53,1.4,74.2
582,42,36,72,2.86,205.92
583,42,38,48,2.76,132.48
584,42,22,100,10.59,1059.0
585,42,10,75,1.37,102.75
586,42,24,43,54.23,2331.89
587,42,14,64,1.19,76.16
588,42,52,67,1.38,92.46
589,43,53,35,1.27,44.45
590,43,44,30,1.43,42.9
591,43,49,59,2.8,165.2
592,43,20,47,0.99,46.53
593,43,24,72,56.23,4048.56
594,43,21,71,46.69,3314.99
595,43,22,66,11.61,766.26
596,43,58,45,0.84,37.8
597,43,48,30,0.88,26.4
598,44,48,28,0.9,25.2
599,44,34,90,1.88,169.2
600,44,38,77,2.83,217.91
601,44,50,39,0.86,33.54
602,44,58,61,1.0,61.0
603,44,11,62,1.76,109.12
604,44,33,79,1.43,112.97
605,44,37,61,3.34,203.74
606,44,22,93,10.44,970.92
607,44,43,54,0.9,48.6
608,45,57,96,1.28,122.88
609,45,31,23,3.32,76.36
610,45,52,92,1.48,136.16
611,45,36,87,3.05,265.35
612,45,28,44,27.52,1210.88
613,45,20,50,1.02,51.0
614,45,42,44,1.82,80.08
615,45,24,43,58.3,2506.9
616,45,27,58,11.71,679.18
617,45,11,40,1.34,53.6
618,45,29,99,49.16,4866.84
619,45,59,67,1.65,110.55
620,45,9,83,1.02,84.66
621,45,40,83,3.9,323.7
622,45,5,50,1.0,50.0
623,45,51,73,0.74,54.02
624,45,39,81,1.73,140.13
625,45,8,30,0.94,28.2
626,46,59,53,1.33,70.49
627,46,33,51,1.5,76.5
628,46,43,24,0.86,20.64
629,46,56,49,1.01,49.49
630,46,4,31,0.86,26.66
631,46,51,61,0.62,37.82
632,46,28,38,33.66,1279.08
633,46,8,58,0.93,53.94
634,46,55,84,0.3,25.2
635,46,54,73,2.3,167.9
636,46,58,27,1.0,27.0
637,46,42,24,1.81,43.44
638,46,40,61,5.42,330.62
639,47,41,28,4.07,113.96
640,47,21,44,40.63,1787.72
641,47,22,53,12.18,645.54
642,47,34,40,1.6,64.0
643,47,50,96,1.0,96.0
644,47,12,50,0.59,29.5
645,47,27,90,11.9,1071.0
646,47,45,67,1.3,87.1
647,47,38,75,2.69,201.75
648,47,28,53,25.0,1325.0
649,47,43,81,1.1,89.1
650,47,57,39,1.53,59.67
651,47,54,87,2.35,204.45
652,47,48,83,0.93,77.19
653,47,18,65,1.69,109.85
654,47,24,39,57.56,2244.84
655,47,14,69,1.43,98.67
656,47,52,40,1.6,64.0
657,47,42,89,2.12,188.68
658,47,9,72,1.08,77.76
659,48,36,37,3.18,117.66
660,48,22,75,10.52,789.0
661,48,42,43,2.17,93.31
662,48,17,38,0.69,26.22
663,48,4,83,1.03,85.49
664,48,30,53,48.82,2587.46
665,48,37,76,4.35,330.6
666,48,26,23,49.31,1134.13
667,48,9,32,0.94,30.08
668,48,54,21,1.79,37.59
669,48,2,100,1.06,106.0
670,48,56,80,0.89,71.2
671,48,16,75,0.59,44.25
672,49,59,44,1.64,72.16
673,49,28,77,24.57,1891.89
674,49,49,63,2.67,168.21
675,49,60,44,0.33,14.52
676,49,9,61,1.11,67.71
677,49,44,63,1.73,108.99
678,49,24,67,50.96,3414.32
679,49,55,72,0.29,20.88
680,49,45,79,1.25,98.75
681,49,8,41,1.15,47.15
682,49,30,30,45.55,1366.5
683,49,3,32,1.19,38.08
684,49,31,80,2.73,218.4
685,49,43,48,0.95,45.6
686,50,44,28,1.53,42.84
687,50,22,37,13.54,500.98
688,50,43,83,0.85,70.55
689,50,57,42,1.3,54.6
690,50,33,70,1.19,83.3
691,50,53,38,1.31,49.78
692,50,47,79,1.2,94.8
693,50,3,39,1.59,62.01
694,50,8,63,0.9,56.7
695,50,29,40,49.44,1977.6
696,50,7,87,0.5,43.5
697,50,51,29,0.78,22.62
698,51,20,46,1.19,54.74
699,51,5,24,0.91,21.84
700,51,11,33,1.68,55.44
701,51,45,65,1.17,76.05
702,51,43,83,0.94,78.02
703,51,57,29,1.29,37.41
704,51,44,35,1.44,50.4
705,51,22,48,12.31,590.88
706,51,7,68,0.54,36.72
707,51,40,95,4.66,442.7
708,51,49,68,2.21,150.28
709,51,52,28,1.48,41.44
710,51,19,82,0.56,45.92
711,51,26,56,42.79,2396.24
712,51,25,83,39.4,3270.2
713,51,34,48,1.59,76.32
714,51,39,36,1.72,61.92
715,51,18,49,1.57,76.93
716,52,24,21,55.84,1172.64
717,52,34,81,1.71,138.51
718,52,49,54,2.82,152.28
719,52,48,25,0.83,20.75
720,52,43,100,0.99,99.0
721,52,14,27,1.14,30.78
722,52,19,55,0.54,29.7
723,52,33,45,1.45,65.25
724,52,20,59,1.19,70.21
725,52,59,32,1.26,40.32
726,52,58,84,0.97,81.48
727,52,25,82,45.15,3702.3
728,52,5,63,0.77,48.51
729,52,46,100,0.87,87.0
730,52,15,90,0.99,89.1
731,52,2,92,1.23,113.16
732,52,10,25,1.21,30.25
733,52,1,100,0.59,59.0
734,52,42,38,1.84,69.92
735,53,38,70,2.41,168.7
736,53,50,64,0.96,61.44
737,53,39,58,2.19,127.02
738,53,56,100,1.02,102.0
739,53,3,25,1.18,29.5
740,53,49,43,2.61,112.23
741,53,2,42,1.08,45.36
742,53,14,64,1.11,71.04
743,53,13,36,1.57,56.52
744,53,53,96,1.36,130.56
745,53,47,41,1.33,54.53
746,54,17,82,0.79,64.78
747,54,35,94,4.64,436.16
748,54,36,34,3.12,106.08
749,54,7,58,0.5,29.0
750,54,52,76,1.41,107.16
751,54,30,35,51.03,1786.05
752,54,31,32,3.24,103.68
753,54,11,39,1.64,63.96
754,54,49,65,2.29,148.85
755,54,22,98,13.23,1296.54
756,54,1,74,0.47,34.78
757,54,41,72,3.92,282.24
758,54,27,85,12.09,1027.65
759,54,38,55,2.61,143.55
760,54,29,30,49.21,1476.3
761,54,48,41,0.83,34.03
762,54,44,81,1.72,139.32
763,54,24,62,55.13,3418.06
764,55,42,95,1.62,153.9
765,55,21,99,38.93,3854.07
766,55,34,62,1.73,107.26
767,55,59,29,1.5,43.5
768,55,46,84,0.9,75.6
769,55,43,53,0.89,47.17
770,55,31,82,3.13,256.66
771,55,18,48,1.71,82.08
772,55,29,30,46.54,1396.2
773,55,50,57,0.95,54.15
774,55,12,90,0.74,66.6
775,55,32,37,3.19,118.03
776,55,47,51,1.27,64.77
777,55,40,84,4.99,419.16
778,55,36,50,3.17,158.5
779,55,22,76,10.76,817.76
780,55,9,55,0.97,53.35
781,55,3,82,1.54,126.28
782,55,39,99,2.22,219.78
783,56,40,72,4.76,342.72
784,56,31,25,3.42,85.5
785,56,59,74,1.21,89.54
786,56,26,38,47.76,1814.88
787,56,45,61,1.29,78.69
788,56,49,77,2.57,197.89
789,56,41,89,3.24,288.36
790,56,58,82,0.84,68.88
791,56,13,67,1.77,118.59
792,56,33,59,1.24,73.16
793,56,50,71,0.98,69.58
794,56,29,26,47.58,1237.08
795,57,31,34,2.91,98.94
796,57,45,92,1.17,107.64
797,57,6,76,0.7,53.2
798,57,3,23,1.46,33.58
799,57,21,78,46.35,3615.3
800,57,40,41,4.55,186.55
801,57,46,94,0.68,63.92
802,57,27,55,13.19,725.45
803,57,43,64,0.99,63.36
804,57,30,89,47.05,4187.45
805,57,10,30,1.0,30.0
806,57,33,29,1.46,42.34
807,57,57,31,1.35,41.85
808,57,52,80,1.29,103.2
809,57,22,33,11.29,372.57
810,57,26,74,44.16,3267.84
811,57,28,43,27.03,1162.29
812,57,23,99,45.5,4504.5
813,58,58,88,1.12,98.56
814,58,15,23,0.99,22.77
815,58,37,47,4.1,192.7
816,58,20,35,1.06,37.1
817,58,49,50,2.99,149.5
818,58,35,47,5.32,250.04
819,58,22,61,12.46,760.06
820,58,39,82,1.95,159.9
821,58,18,87,1.6,139.2
822,58,52,56,1.19,66.64
823,58,34,42,1.53,64.26
824,58,17,59,0.68,40.12
825,58,24,25,50.1,1252.5
826,58,7,76,0.62,47.12
827,58,53,22,1.38,30.36
828,58,9,28,0.87,24.36
829,58,55,74,0.34,25.16
830,58,36,43,3.24,139.32
831,59,37,59,4.28,252.52
832,59,3,97,1.55,150.35
833,59,12,31,0.75,23.25
834,59,46,43,0.93,39.99
835,59,29,82,38.98,3196.36
836,59,19,23,0.67,15.41
837,59,1,77,0.52,40.04
838,59,20,67,0.96,64.32
839,59,2,34,1.36,46.24
840,59,45,94,1.31,123.14
841,59,16,33,0.75,24.75
842,59,36,47,3.19,149.93
843,59,42,34,2.01,68.34
844,59,18,28,1.85,51.8
845,59,21,27,47.57,1284.39
846,59,41,41,3.23,132.43
847,60,49,43,2.88,123.84
848,60,42,73,1.71,124.83
849,60,12,51,0.62,31.62
850,60,48,65,0.75,48.75
851,60,30,23,54.79,1260.17
852,60,10,21,0.99,20.79
853,60,2,70,1.24,86.8
854,60,52,73,1.55,113.15
855,60,55,51,0.35,17.85
856,60,47,90,1.14,102.6
857,60,18,25,1.48,37.0
858,60,23,25,50.09,1252.25
859,60,29,55,43.96,2417.8
860,60,17,84,0.73,61.32
861,60,39,61,2.07,126.27
862,60,33,49,1.14,55.86
863,60,54,46,2.19,100.74
